Food_code,Seq_num,Additional_food_description,Start_date,End_date
12210400.0,3.0,Cremora,2021-01-01,2023-12-31
12210400.0,8.0,Carnation,2021-01-01,2023-12-31
12210400.0,9.0,plain,2021-01-01,2023-12-31
12210420.0,3.0,"Coffee Mate powder, flavored",2021-01-01,2023-12-31
12210420.0,4.0,Carnation,2021-01-01,2023-12-31
12210430.0,2.0,light,2021-01-01,2023-12-31
12210430.0,4.0,low fat,2021-01-01,2023-12-31
12210430.0,5.0,Coffee Mate,2021-01-01,2023-12-31
12210430.0,6.0,Carnation,2021-01-01,2023-12-31
12210430.0,7.0,Cremora,2021-01-01,2023-12-31
12210430.0,8.0,plain,2021-01-01,2023-12-31
12210430.0,9.0,flavored,2021-01-01,2023-12-31
12210505.0,3.0,fat free,2021-01-01,2023-12-31
12210505.0,4.0,light,2021-01-01,2023-12-31
12210505.0,5.0,lite,2021-01-01,2023-12-31
12210505.0,6.0,low fat,2021-01-01,2023-12-31
12210505.0,7.0,Coffee Mate,2021-01-01,2023-12-31
12210505.0,8.0,Carnation,2021-01-01,2023-12-31
12210520.0,2.0,almond,2021-01-01,2023-12-31
12210520.0,3.0,Silk,2021-01-01,2023-12-31
12210520.0,4.0,So Delicious,2021-01-01,2023-12-31
12210520.0,5.0,coconut milk creamer,2021-01-01,2023-12-31
12220200.0,1.0,Cool Whip,2021-01-01,2023-12-31
12220200.0,5.0,non-dairy,2021-01-01,2023-12-31
12220200.0,7.0,plain or flavored,2021-01-01,2023-12-31
12220200.0,8.0,frozen,2021-01-01,2023-12-31
12220200.0,9.0,Rich's Richwhip,2021-01-01,2023-12-31
12220200.0,10.0,Dream Whip,2021-01-01,2023-12-31
12220200.0,11.0,"whipped topping, NFS",2021-01-01,2023-12-31
12220270.0,3.0,light,2021-01-01,2023-12-31
12220270.0,4.0,lite,2021-01-01,2023-12-31
12220270.0,5.0,non-dairy,2021-01-01,2023-12-31
12220270.0,6.0,low fat,2021-01-01,2023-12-31
12220270.0,7.0,Cool Whip,2021-01-01,2023-12-31
